epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1147.63,0.94474,1.4759,0.88351,1.1026,0,0.79724,0.74216,0.75983,0.51997,0.71934,0.63818,0.59972,0.20396,1.13191,1.16087,1.13187,1.13888,0,0.0014654,0.0014654,0.0014654
29,1337.11,0.92941,1.47171,0.85921,1.09808,0,0.76624,0.76351,0.78122,0.54095,0.70367,0.61847,0.60987,0.192,1.08574,1.203,1.15077,1.12484,0,0.0014456,0.0014456,0.0014456
30,1527.36,0.92123,1.45471,0.83726,1.09853,0,0.80297,0.70683,0.74969,0.5158,0.71422,0.62651,0.58688,0.19548,1.1414,1.18603,1.1628,1.12241,0,0.0014258,0.0014258,0.0014258
31,1717.29,0.92718,1.47218,0.84857,1.10445,0,0.84413,0.68675,0.77093,0.5585,0.75739,0.59036,0.605,0.20613,1.05851,1.2029,1.09898,1.09306,0,0.001406,0.001406,0.001406
32,1906.21,0.91977,1.44019,0.84923,1.09874,0,0.83668,0.73092,0.7796,0.55736,0.7435,0.64028,0.60072,0.19146,1.10883,1.18437,1.11028,1.11605,0,0.0013862,0.0013862,0.0013862
33,2095.69,0.91872,1.44559,0.85074,1.09831,0,0.80533,0.7144,0.74988,0.5218,0.71352,0.62651,0.59155,0.18924,1.12129,1.17013,1.14458,1.12951,0,0.0013664,0.0013664,0.0013664
34,2284.75,0.91701,1.47914,0.84587,1.09625,0,0.82104,0.72691,0.77754,0.54156,0.73485,0.6506,0.62918,0.2031,1.11222,1.16819,1.13675,1.12695,0,0.0013466,0.0013466,0.0013466
35,2474.03,0.91832,1.46026,0.83507,1.09436,0,0.86796,0.71282,0.78147,0.51819,0.76245,0.61873,0.63536,0.21829,1.18211,1.16417,1.11263,1.12537,0,0.0013268,0.0013268,0.0013268
36,2663.07,0.90817,1.46396,0.82881,1.08757,0,0.83847,0.69478,0.77311,0.53752,0.72534,0.61514,0.60283,0.18858,1.06884,1.21121,1.11294,1.10382,0,0.001307,0.001307,0.001307
37,2852.6,0.89553,1.44829,0.80924,1.07918,0,0.8113,0.73494,0.77916,0.53411,0.67642,0.61446,0.5696,0.18392,1.07898,1.20483,1.12649,1.12173,0,0.0012872,0.0012872,0.0012872
38,3040.67,0.90606,1.45413,0.81817,1.08672,0,0.85435,0.70683,0.78962,0.56284,0.75361,0.61044,0.63048,0.21226,1.05379,1.16204,1.10582,1.09796,0,0.0012674,0.0012674,0.0012674
39,3230.41,0.89614,1.45911,0.80689,1.08228,0,0.8341,0.69076,0.76715,0.53896,0.72381,0.60241,0.5948,0.19974,1.09107,1.2189,1.1207,1.13063,0,0.0012476,0.0012476,0.0012476
40,3418.8,0.89684,1.4429,0.81677,1.0821,0,0.81133,0.70809,0.78893,0.55604,0.71786,0.62651,0.6353,0.19682,1.08553,1.19742,1.08879,1.12351,0,0.0012278,0.0012278,0.0012278
